registerno,department,semester
922524243136,Artificial Intelligence and Data Science -C,2
922524243137,Artificial Intelligence and Data Science -C,2
922524243138,Artificial Intelligence and Data Science -C,2
922524243139,Artificial Intelligence and Data Science -C,2
922524243140,Artificial Intelligence and Data Science -C,2
922524243141,Artificial Intelligence and Data Science -C,2
922524243142,Artificial Intelligence and Data Science -C,2
922524243143,Artificial Intelligence and Data Science -C,2
922524243144,Artificial Intelligence and Data Science -C,2
922524243145,Artificial Intelligence and Data Science -C,2
922524243146,Artificial Intelligence and Data Science -C,2
922524243147,Artificial Intelligence and Data Science -C,2
922524243148,Artificial Intelligence and Data Science -C,2
922524243149,Artificial Intelligence and Data Science -C,2
922524243150,Artificial Intelligence and Data Science -C,2
922524243151,Artificial Intelligence and Data Science -C,2
922524243152,Artificial Intelligence and Data Science -C,2
922524243153,Artificial Intelligence and Data Science -C,2
922524243154,Artificial Intelligence and Data Science -C,2
922524243155,Artificial Intelligence and Data Science -C,2
922524243156,Artificial Intelligence and Data Science -C,2
922524243157,Artificial Intelligence and Data Science -C,2
922524243158,Artificial Intelligence and Data Science -C,2
922524243159,Artificial Intelligence and Data Science -C,2
922524243160,Artificial Intelligence and Data Science -C,2
922524243161,Artificial Intelligence and Data Science -C,2
922524243162,Artificial Intelligence and Data Science -C,2
922524243163,Artificial Intelligence and Data Science -C,2
922524243164,Artificial Intelligence and Data Science -C,2
922524243165,Artificial Intelligence and Data Science -C,2
922524243166,Artificial Intelligence and Data Science -C,2
922524243167,Artificial Intelligence and Data Science -C,2
922524243168,Artificial Intelligence and Data Science -C,2
922524243169,Artificial Intelligence and Data Science -C,2
922524243170,Artificial Intelligence and Data Science -C,2
922524243171,Artificial Intelligence and Data Science -C,2
922524243172,Artificial Intelligence and Data Science -C,2
922524243173,Artificial Intelligence and Data Science -C,2
922524243174,Artificial Intelligence and Data Science -C,2
922524243175,Artificial Intelligence and Data Science -C,2
922524243176,Artificial Intelligence and Data Science -C,2
922524243177,Artificial Intelligence and Data Science -C,2
922524243178,Artificial Intelligence and Data Science -C,2
922524243179,Artificial Intelligence and Data Science -C,2
922524243180,Artificial Intelligence and Data Science -C,2
922524243181,Artificial Intelligence and Data Science -C,2
922524243182,Artificial Intelligence and Data Science -C,2
922524243183,Artificial Intelligence and Data Science -C,2
922524243184,Artificial Intelligence and Data Science -C,2
922524243185,Artificial Intelligence and Data Science -C,2
922524243186,Artificial Intelligence and Data Science -C,2
922524105001,Electrical and Electronics Engineering -A,2
922524105002,Electrical and Electronics Engineering -A,2
922524105003,Electrical and Electronics Engineering -A,2
922524105004,Electrical and Electronics Engineering -A,2
922524105005,Electrical and Electronics Engineering -A,2
922524105006,Electrical and Electronics Engineering -A,2
922524105007,Electrical and Electronics Engineering -A,2
922524105008,Electrical and Electronics Engineering -A,2
922524105009,Electrical and Electronics Engineering -A,2
922524105010,Electrical and Electronics Engineering -A,2
922524105011,Electrical and Electronics Engineering -A,2
922524105012,Electrical and Electronics Engineering -A,2
922524105013,Electrical and Electronics Engineering -A,2
922524105014,Electrical and Electronics Engineering -A,2
922524105015,Electrical and Electronics Engineering -A,2
922524105016,Electrical and Electronics Engineering -A,2
922524105017,Electrical and Electronics Engineering -A,2
922524105018,Electrical and Electronics Engineering -A,2
922524105019,Electrical and Electronics Engineering -A,2
922524105020,Electrical and Electronics Engineering -A,2
922524105021,Electrical and Electronics Engineering -A,2
922524105022,Electrical and Electronics Engineering -A,2
922524105023,Electrical and Electronics Engineering -A,2
922524105024,Electrical and Electronics Engineering -A,2
922524105025,Electrical and Electronics Engineering -A,2
922524105026,Electrical and Electronics Engineering -A,2
922524105027,Electrical and Electronics Engineering -A,2
922524105028,Electrical and Electronics Engineering -A,2
922524105029,Electrical and Electronics Engineering -A,2
922524105030,Electrical and Electronics Engineering -A,2
922524105031,Electrical and Electronics Engineering -A,2
922524105032,Electrical and Electronics Engineering -A,2
922524105033,Electrical and Electronics Engineering -A,2
922524105034,Electrical and Electronics Engineering -A,2
922524105035,Electrical and Electronics Engineering -A,2
922524105036,Electrical and Electronics Engineering -A,2
922524105037,Electrical and Electronics Engineering -A,2
922524105038,Electrical and Electronics Engineering -A,2
922524105039,Electrical and Electronics Engineering -A,2
922524105040,Electrical and Electronics Engineering -A,2
922524105041,Electrical and Electronics Engineering -A,2
922524105042,Electrical and Electronics Engineering -A,2
922524105043,Electrical and Electronics Engineering -A,2
922524105044,Electrical and Electronics Engineering -A,2
922524105045,Electrical and Electronics Engineering -A,2
922524105046,Electrical and Electronics Engineering -A,2
922524105047,Electrical and Electronics Engineering -A,2
922524105048,Electrical and Electronics Engineering -A,2
922524105049,Electrical and Electronics Engineering -A,2
922524105050,Electrical and Electronics Engineering -A,2
922524105051,Electrical and Electronics Engineering -A,2
922524105052,Electrical and Electronics Engineering -A,2
922524105053,Electrical and Electronics Engineering -A,2
922524105054,Electrical and Electronics Engineering -A,2
922524105055,Electrical and Electronics Engineering -A,2
922524105056,Electrical and Electronics Engineering -A,2
922524105057,Electrical and Electronics Engineering -A,2
922524105058,Electrical and Electronics Engineering -A,2
922524105059,Electrical and Electronics Engineering -A,2
922524105060,Electrical and Electronics Engineering -A,2
922524105061,Electrical and Electronics Engineering -A,2
922524105062,Electrical and Electronics Engineering -A,2
922524105063,Electrical and Electronics Engineering -A,2
922524243187,Artificial Intelligence and Data Science -D,2
922524243188,Artificial Intelligence and Data Science -D,2
922524243189,Artificial Intelligence and Data Science -D,2
922524243190,Artificial Intelligence and Data Science -D,2
922524243191,Artificial Intelligence and Data Science -D,2
922524243192,Artificial Intelligence and Data Science -D,2
922524243193,Artificial Intelligence and Data Science -D,2
922524243194,Artificial Intelligence and Data Science -D,2
922524243195,Artificial Intelligence and Data Science -D,2
922524243196,Artificial Intelligence and Data Science -D,2
922524243197,Artificial Intelligence and Data Science -D,2
922524243198,Artificial Intelligence and Data Science -D,2
922524243199,Artificial Intelligence and Data Science -D,2
922524243200,Artificial Intelligence and Data Science -D,2
922524243201,Artificial Intelligence and Data Science -D,2
922524243202,Artificial Intelligence and Data Science -D,2
922524243203,Artificial Intelligence and Data Science -D,2
922524243204,Artificial Intelligence and Data Science -D,2
922524243205,Artificial Intelligence and Data Science -D,2
922524243206,Artificial Intelligence and Data Science -D,2
922524243207,Artificial Intelligence and Data Science -D,2
922524243208,Artificial Intelligence and Data Science -D,2
922524243209,Artificial Intelligence and Data Science -D,2
922524243210,Artificial Intelligence and Data Science -D,2
922524243211,Artificial Intelligence and Data Science -D,2
922524243212,Artificial Intelligence and Data Science -D,2
922524243213,Artificial Intelligence and Data Science -D,2
922524243214,Artificial Intelligence and Data Science -D,2
922524243215,Artificial Intelligence and Data Science -D,2
922524243216,Artificial Intelligence and Data Science -D,2
922524243217,Artificial Intelligence and Data Science -D,2
922524243218,Artificial Intelligence and Data Science -D,2
922524243219,Artificial Intelligence and Data Science -D,2
922524243220,Artificial Intelligence and Data Science -D,2
922524243221,Artificial Intelligence and Data Science -D,2
922524243222,Artificial Intelligence and Data Science -D,2
922524243223,Artificial Intelligence and Data Science -D,2
922524243224,Artificial Intelligence and Data Science -D,2
922524243225,Artificial Intelligence and Data Science -D,2
922524243226,Artificial Intelligence and Data Science -D,2
922524243227,Artificial Intelligence and Data Science -D,2
922524243228,Artificial Intelligence and Data Science -D,2
922524243229,Artificial Intelligence and Data Science -D,2
922524243230,Artificial Intelligence and Data Science -D,2
922524243231,Artificial Intelligence and Data Science -D,2
922524243232,Artificial Intelligence and Data Science -D,2
922524243233,Artificial Intelligence and Data Science -D,2
922524243234,Artificial Intelligence and Data Science -D,2
922524243235,Artificial Intelligence and Data Science -D,2
922524243236,Artificial Intelligence and Data Science -D,2
922524243237,Artificial Intelligence and Data Science -D,2
922524243238,Artificial Intelligence and Data Science -D,2
922524243239,Artificial Intelligence and Data Science -D,2
922524243240,Artificial Intelligence and Data Science -D,2
922524243241,Artificial Intelligence and Data Science -D,2
922524243242,Artificial Intelligence and Data Science -D,2
922524243243,Artificial Intelligence and Data Science -D,2
922524243244,Artificial Intelligence and Data Science -D,2
922524243245,Artificial Intelligence and Data Science -D,2
922524243246,Artificial Intelligence and Data Science -D,2
922524243247,Artificial Intelligence and Data Science -D,2
922524243248,Artificial Intelligence and Data Science -D,2
922524243249,Artificial Intelligence and Data Science -D,2
922523243001,Artificial Intelligence and Data Science -A,4
922523243002,Artificial Intelligence and Data Science -A,4
922523243003,Artificial Intelligence and Data Science -A,4
922523243004,Artificial Intelligence and Data Science -A,4
922523243005,Artificial Intelligence and Data Science -A,4
922523243006,Artificial Intelligence and Data Science -A,4
922523243007,Artificial Intelligence and Data Science -A,4
922523243008,Artificial Intelligence and Data Science -A,4
922523243009,Artificial Intelligence and Data Science -A,4
922523243010,Artificial Intelligence and Data Science -A,4
922523243011,Artificial Intelligence and Data Science -A,4
922523243012,Artificial Intelligence and Data Science -A,4
922523243013,Artificial Intelligence and Data Science -A,4
922523243014,Artificial Intelligence and Data Science -A,4
922523243015,Artificial Intelligence and Data Science -A,4
922523243016,Artificial Intelligence and Data Science -A,4
922523243017,Artificial Intelligence and Data Science -A,4
922523243018,Artificial Intelligence and Data Science -A,4
922523243019,Artificial Intelligence and Data Science -A,4
922523243020,Artificial Intelligence and Data Science -A,4
922523243021,Artificial Intelligence and Data Science -A,4
922523243022,Artificial Intelligence and Data Science -A,4
922523243023,Artificial Intelligence and Data Science -A,4
922523243024,Artificial Intelligence and Data Science -A,4
922523243025,Artificial Intelligence and Data Science -A,4
922523243026,Artificial Intelligence and Data Science -A,4
922523243027,Artificial Intelligence and Data Science -A,4
922523243028,Artificial Intelligence and Data Science -A,4
922523243029,Artificial Intelligence and Data Science -A,4
922523243030,Artificial Intelligence and Data Science -A,4
922523243031,Artificial Intelligence and Data Science -A,4
922523243032,Artificial Intelligence and Data Science -A,4
922523243033,Artificial Intelligence and Data Science -A,4
922523243034,Artificial Intelligence and Data Science -A,4
922523243035,Artificial Intelligence and Data Science -A,4
922523243036,Artificial Intelligence and Data Science -A,4
922523243037,Artificial Intelligence and Data Science -A,4
922523243038,Artificial Intelligence and Data Science -A,4
922523243039,Artificial Intelligence and Data Science -A,4
922523243040,Artificial Intelligence and Data Science -A,4
922523243041,Artificial Intelligence and Data Science -A,4
922523243042,Artificial Intelligence and Data Science -A,4
922523243043,Artificial Intelligence and Data Science -A,4
922523243044,Artificial Intelligence and Data Science -A,4
922523243045,Artificial Intelligence and Data Science -A,4
922523243046,Artificial Intelligence and Data Science -A,4
922523243047,Artificial Intelligence and Data Science -A,4
922523243048,Artificial Intelligence and Data Science -A,4
922523243049,Artificial Intelligence and Data Science -A,4
922523243050,Artificial Intelligence and Data Science -A,4
922523243051,Artificial Intelligence and Data Science -A,4
922523243052,Artificial Intelligence and Data Science -A,4
922523243053,Artificial Intelligence and Data Science -A,4
922523243054,Artificial Intelligence and Data Science -A,4
922523243055,Artificial Intelligence and Data Science -A,4
922523243056,Artificial Intelligence and Data Science -A,4
922523243057,Artificial Intelligence and Data Science -A,4
922523243058,Artificial Intelligence and Data Science -A,4
922523243059,Artificial Intelligence and Data Science -A,4
922523243060,Artificial Intelligence and Data Science -A,4
922523243061,Artificial Intelligence and Data Science -A,4
922523243062,Artificial Intelligence and Data Science -B,4
922523243063,Artificial Intelligence and Data Science -B,4
922523243064,Artificial Intelligence and Data Science -B,4
922523243065,Artificial Intelligence and Data Science -B,4
922523243066,Artificial Intelligence and Data Science -B,4
922523243067,Artificial Intelligence and Data Science -B,4
922523243068,Artificial Intelligence and Data Science -B,4
922523243069,Artificial Intelligence and Data Science -B,4
922523243070,Artificial Intelligence and Data Science -B,4
922523243071,Artificial Intelligence and Data Science -B,4
922523243072,Artificial Intelligence and Data Science -B,4
922523243073,Artificial Intelligence and Data Science -B,4
922523243074,Artificial Intelligence and Data Science -B,4
922523243075,Artificial Intelligence and Data Science -B,4
922523243076,Artificial Intelligence and Data Science -B,4
922523243077,Artificial Intelligence and Data Science -B,4
922523243078,Artificial Intelligence and Data Science -B,4
922523243079,Artificial Intelligence and Data Science -B,4
922523243080,Artificial Intelligence and Data Science -B,4
922523243081,Artificial Intelligence and Data Science -B,4
922523243082,Artificial Intelligence and Data Science -B,4
922523243083,Artificial Intelligence and Data Science -B,4
922523243084,Artificial Intelligence and Data Science -B,4
922523243085,Artificial Intelligence and Data Science -B,4
922523243086,Artificial Intelligence and Data Science -B,4
922523243087,Artificial Intelligence and Data Science -B,4
922523243088,Artificial Intelligence and Data Science -B,4
922523243089,Artificial Intelligence and Data Science -B,4
922523243090,Artificial Intelligence and Data Science -B,4
922523243091,Artificial Intelligence and Data Science -B,4
922523243092,Artificial Intelligence and Data Science -B,4
922523243093,Artificial Intelligence and Data Science -B,4
922523243094,Artificial Intelligence and Data Science -B,4
922523243095,Artificial Intelligence and Data Science -B,4
922523243096,Artificial Intelligence and Data Science -B,4
922523243097,Artificial Intelligence and Data Science -B,4
922523243098,Artificial Intelligence and Data Science -B,4
922523243099,Artificial Intelligence and Data Science -B,4
922523243100,Artificial Intelligence and Data Science -B,4
922523243101,Artificial Intelligence and Data Science -B,4
922523243102,Artificial Intelligence and Data Science -B,4
922523243103,Artificial Intelligence and Data Science -B,4
922523243104,Artificial Intelligence and Data Science -B,4
922523243105,Artificial Intelligence and Data Science -B,4
922523243106,Artificial Intelligence and Data Science -B,4
922523243107,Artificial Intelligence and Data Science -B,4
922523243108,Artificial Intelligence and Data Science -B,4
922523243109,Artificial Intelligence and Data Science -B,4
922523243110,Artificial Intelligence and Data Science -B,4
922523243111,Artificial Intelligence and Data Science -B,4
922523243112,Artificial Intelligence and Data Science -B,4
922523243113,Artificial Intelligence and Data Science -B,4
922523243114,Artificial Intelligence and Data Science -B,4
922523243115,Artificial Intelligence and Data Science -B,4
922523243116,Artificial Intelligence and Data Science -B,4
922523243117,Artificial Intelligence and Data Science -B,4
922523243118,Artificial Intelligence and Data Science -B,4
922523243119,Artificial Intelligence and Data Science -B,4
922523243120,Artificial Intelligence and Data Science -B,4
922523243121,Artificial Intelligence and Data Science -B,4
922523243122,Artificial Intelligence and Data Science -B,4
922523243301,Artificial Intelligence and Data Science -B,4
922523243302,Artificial Intelligence and Data Science -B,4
922523243303,Artificial Intelligence and Data Science -B,4
922523243304,Artificial Intelligence and Data Science -B,4
922523243305,Artificial Intelligence and Data Science -B,4
922522243001,Artificial Intelligence and Data Science -A,6
922522243002,Artificial Intelligence and Data Science -A,6
922522243003,Artificial Intelligence and Data Science -A,6
922522243004,Artificial Intelligence and Data Science -A,6
922522243005,Artificial Intelligence and Data Science -A,6
922522243006,Artificial Intelligence and Data Science -A,6
922522243007,Artificial Intelligence and Data Science -A,6
922522243008,Artificial Intelligence and Data Science -A,6
922522243009,Artificial Intelligence and Data Science -A,6
922522243010,Artificial Intelligence and Data Science -A,6
922522243011,Artificial Intelligence and Data Science -A,6
922522243012,Artificial Intelligence and Data Science -A,6
922522243013,Artificial Intelligence and Data Science -A,6
922522243014,Artificial Intelligence and Data Science -A,6
922522243015,Artificial Intelligence and Data Science -A,6
922522243016,Artificial Intelligence and Data Science -A,6
922522243017,Artificial Intelligence and Data Science -A,6
922522243018,Artificial Intelligence and Data Science -A,6
922522243019,Artificial Intelligence and Data Science -A,6
922522243020,Artificial Intelligence and Data Science -A,6
922522243021,Artificial Intelligence and Data Science -A,6
922522243022,Artificial Intelligence and Data Science -A,6
922522243023,Artificial Intelligence and Data Science -A,6
922522243024,Artificial Intelligence and Data Science -A,6
922522243025,Artificial Intelligence and Data Science -A,6
922522243026,Artificial Intelligence and Data Science -A,6
922522243027,Artificial Intelligence and Data Science -A,6
922522243028,Artificial Intelligence and Data Science -A,6
922522243029,Artificial Intelligence and Data Science -A,6
922522243030,Artificial Intelligence and Data Science -A,6
922522243031,Artificial Intelligence and Data Science -A,6
922522243032,Artificial Intelligence and Data Science -A,6
922522243033,Artificial Intelligence and Data Science -A,6
922522243034,Artificial Intelligence and Data Science -A,6
922522243035,Artificial Intelligence and Data Science -A,6
922522243036,Artificial Intelligence and Data Science -A,6
922522243037,Artificial Intelligence and Data Science -A,6
922522243038,Artificial Intelligence and Data Science -A,6
922522243039,Artificial Intelligence and Data Science -A,6
922522243040,Artificial Intelligence and Data Science -A,6
922522243041,Artificial Intelligence and Data Science -A,6
922522243042,Artificial Intelligence and Data Science -A,6
922522243043,Artificial Intelligence and Data Science -A,6
922522243044,Artificial Intelligence and Data Science -A,6
922522243045,Artificial Intelligence and Data Science -A,6
922522243046,Artificial Intelligence and Data Science -A,6
922522243047,Artificial Intelligence and Data Science -A,6
922522243048,Artificial Intelligence and Data Science -A,6
922522243049,Artificial Intelligence and Data Science -A,6
922522243050,Artificial Intelligence and Data Science -A,6
922522243051,Artificial Intelligence and Data Science -A,6
922522243052,Artificial Intelligence and Data Science -A,6
922522243053,Artificial Intelligence and Data Science -A,6
922522243054,Artificial Intelligence and Data Science -A,6
922522243055,Artificial Intelligence and Data Science -A,6
922522243056,Artificial Intelligence and Data Science -A,6
922522243057,Artificial Intelligence and Data Science -A,6
922522243058,Artificial Intelligence and Data Science -A,6
922522243059,Artificial Intelligence and Data Science -A,6
922522243060,Artificial Intelligence and Data Science -A,6
922522243061,Artificial Intelligence and Data Science -A,6
922522243062,Artificial Intelligence and Data Science -A,6
922522243063,Artificial Intelligence and Data Science -A,6
922522243064,Artificial Intelligence and Data Science -A,6
922522243065,Artificial Intelligence and Data Science -A,6
922522243066,Artificial Intelligence and Data Science -A,6
922522243067,Artificial Intelligence and Data Science -A,6
922522243068,Artificial Intelligence and Data Science -A,6
922522243069,Artificial Intelligence and Data Science -A,6
922522243070,Artificial Intelligence and Data Science -A,6
922522243071,Artificial Intelligence and Data Science -A,6
922522243072,Artificial Intelligence and Data Science -A,6
922522243073,Artificial Intelligence and Data Science -A,6
922522243074,Artificial Intelligence and Data Science -A,6
922524148001,Artificial Intelligence and Machine Learning -A,2
922524148002,Artificial Intelligence and Machine Learning -A,2
922524148003,Artificial Intelligence and Machine Learning -A,2
922524148004,Artificial Intelligence and Machine Learning -A,2
922524148005,Artificial Intelligence and Machine Learning -A,2
922524148006,Artificial Intelligence and Machine Learning -A,2
922524148007,Artificial Intelligence and Machine Learning -A,2
922524148008,Artificial Intelligence and Machine Learning -A,2
922524148009,Artificial Intelligence and Machine Learning -A,2
922524148010,Artificial Intelligence and Machine Learning -A,2
922524148011,Artificial Intelligence and Machine Learning -A,2
922524148012,Artificial Intelligence and Machine Learning -A,2
922524148013,Artificial Intelligence and Machine Learning -A,2
922524148014,Artificial Intelligence and Machine Learning -A,2
922524148015,Artificial Intelligence and Machine Learning -A,2
922524148016,Artificial Intelligence and Machine Learning -A,2
922524148017,Artificial Intelligence and Machine Learning -A,2
922524148018,Artificial Intelligence and Machine Learning -A,2
922524148019,Artificial Intelligence and Machine Learning -A,2
922524148020,Artificial Intelligence and Machine Learning -A,2
922524148021,Artificial Intelligence and Machine Learning -A,2
922524148022,Artificial Intelligence and Machine Learning -A,2
922524148023,Artificial Intelligence and Machine Learning -A,2
922524148024,Artificial Intelligence and Machine Learning -A,2
922524148025,Artificial Intelligence and Machine Learning -A,2
922524148026,Artificial Intelligence and Machine Learning -A,2
922524148027,Artificial Intelligence and Machine Learning -A,2
922524148028,Artificial Intelligence and Machine Learning -A,2
922524148029,Artificial Intelligence and Machine Learning -A,2
922524148030,Artificial Intelligence and Machine Learning -A,2
922524148031,Artificial Intelligence and Machine Learning -A,2
922524148032,Artificial Intelligence and Machine Learning -A,2
922524148033,Artificial Intelligence and Machine Learning -A,2
922524148034,Artificial Intelligence and Machine Learning -A,2
922524148035,Artificial Intelligence and Machine Learning -A,2
922524148036,Artificial Intelligence and Machine Learning -A,2
922524148037,Artificial Intelligence and Machine Learning -A,2
922524148038,Artificial Intelligence and Machine Learning -A,2
922524148039,Artificial Intelligence and Machine Learning -A,2
922524148040,Artificial Intelligence and Machine Learning -A,2
922524148041,Artificial Intelligence and Machine Learning -A,2
922524148042,Artificial Intelligence and Machine Learning -A,2
922524148043,Artificial Intelligence and Machine Learning -A,2
922524148044,Artificial Intelligence and Machine Learning -A,2
922524148045,Artificial Intelligence and Machine Learning -A,2
922524148046,Artificial Intelligence and Machine Learning -A,2
922524148047,Artificial Intelligence and Machine Learning -A,2
922524148048,Artificial Intelligence and Machine Learning -A,2
922524148049,Artificial Intelligence and Machine Learning -A,2
922524148050,Artificial Intelligence and Machine Learning -A,2
922524148051,Artificial Intelligence and Machine Learning -A,2
922524148052,Artificial Intelligence and Machine Learning -A,2
922524148053,Artificial Intelligence and Machine Learning -A,2
922524148054,Artificial Intelligence and Machine Learning -A,2
922524148055,Artificial Intelligence and Machine Learning -A,2
922524148056,Artificial Intelligence and Machine Learning -A,2
922524148057,Artificial Intelligence and Machine Learning -A,2
922524148058,Artificial Intelligence and Machine Learning -A,2
922524148059,Artificial Intelligence and Machine Learning -A,2
922524148060,Artificial Intelligence and Machine Learning -A,2
922524148061,Artificial Intelligence and Machine Learning -A,2
922524148062,Artificial Intelligence and Machine Learning -A,2
922523105001,Electrical and Electronics Engineering -A,4
922523105002,Electrical and Electronics Engineering -A,4
922523105003,Electrical and Electronics Engineering -A,4
922523105004,Electrical and Electronics Engineering -A,4
922523105005,Electrical and Electronics Engineering -A,4
