registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),8.00,9.00,8.00,9.00,8.00,8.00,8.00,9.00,9.00,9.00,8.50
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,8.00,8.00,6.00,9.00,8.00,8.00,8.00,9.00,9.00,8.00,8.10
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,8.00,8.00,8.00,9.00,8.00,9.00,8.00,8.00,9.00,10.00,8.50
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,8.00,8.00,8.00,9.00,8.00,8.00,9.00,10.00,9.00,8.00,8.50
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),8.00,9.00,8.00,10.00,8.00,9.00,8.00,8.00,9.00,10.00,8.70
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),8.00,8.00,9.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,8.30
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),8.00,9.00,9.00,8.00,9.00,10.00,10.00,8.00,9.00,9.00,8.90
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),8.00,8.00,9.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.10
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),10.00,8.00,9.00,8.00,9.00,10.00,9.00,9.00,8.00,8.00,8.80
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),8.00,8.00,9.00,8.00,10.00,9.00,8.00,9.00,7.00,9.00,8.50
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),8.00,9.00,10.00,9.00,8.00,9.00,10.00,8.00,9.00,8.00,8.80
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,10.00,9.00,8.00,9.00,8.00,10.00,9.00,8.00,9.00,8.00,8.80
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,9.00,8.00,10.00,8.00,9.00,10.00,8.00,10.00,9.00,8.00,8.90
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,10.00,9.00,8.00,9.00,10.00,9.00,8.00,9.00,10.00,9.00,9.10
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),9.00,10.00,8.00,10.00,8.00,9.00,10.00,8.00,9.00,10.00,9.10
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),9.00,10.00,8.00,9.00,10.00,8.00,9.00,9.00,10.00,8.00,9.00
xHNYuWFhi3OPrMPMBfj3y5atGdPNyi1h,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),9.00,10.00,8.00,9.00,8.00,9.00,10.00,9.00,9.00,8.00,8.90
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),7.00,8.00,8.00,9.00,10.00,9.00,7.00,9.00,9.00,8.00,8.40
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),10.00,9.00,8.00,9.00,8.00,10.00,9.00,8.00,10.00,9.00,9.00
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),9.00,8.00,7.00,9.00,6.00,9.00,10.00,9.00,8.00,9.00,8.40
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),10.00,9.00,8.00,10.00,9.00,8.00,9.00,7.00,8.00,9.00,8.70
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),7.00,9.00,9.00,8.00,10.00,9.00,10.00,7.00,8.00,8.00,8.50
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),9.00,8.00,8.00,10.00,9.00,8.00,9.00,10.00,9.00,8.00,8.80
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,9.00,8.00,8.00,9.00,8.00,10.00,9.00,10.00,9.00,8.00,8.80
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,9.00,9.00,10.00,9.00,8.00,7.00,9.00,9.00,7.00,9.00,8.60
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,9.00,8.00,10.00,9.00,8.00,8.00,9.00,8.00,9.00,8.00,8.60
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),9.00,8.00,8.00,9.00,9.00,8.00,9.00,9.00,9.00,8.00,8.60
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),9.00,8.00,8.00,10.00,8.00,9.00,9.00,9.00,9.00,8.00,8.70
klzC8H1t7tOdElPBBilkl1X5f8M+UAjR,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),10.00,9.00,9.00,10.00,9.00,8.00,10.00,10.00,9.00,8.00,9.20
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),10.00,9.00,9.00,10.00,10.00,8.00,10.00,9.00,10.00,10.00,9.50
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),10.00,9.00,8.00,10.00,9.00,10.00,10.00,10.00,9.00,10.00,9.50
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),10.00,9.00,8.00,10.00,10.00,10.00,9.00,8.00,9.00,10.00,9.30
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),10.00,8.00,9.00,10.00,9.00,10.00,9.00,8.00,8.00,10.00,9.10
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),9.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,10.00,8.00,9.00,10.00,10.00,8.00,10.00,8.00,9.00,8.00,9.00
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,8.00,7.00,10.00,9.00,7.00,8.00,8.00,8.00,8.00,9.00,8.20
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,10.00,9.00,7.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,9.50
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),10.00,9.00,9.00,8.00,10.00,10.00,9.00,8.00,9.00,9.00,9.10
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),10.00,9.00,9.00,10.00,9.00,9.00,10.00,10.00,10.00,9.00,9.50
4Vyiq4hnptiiQ7M1jyJFPzKusoByVI0R,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),9.00,9.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,9.50
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),9.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,9.00,8.00,8.30
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),8.00,8.00,8.00,9.00,10.00,8.00,9.00,10.00,9.00,8.00,8.70
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),9.00,8.00,8.00,9.00,8.00,9.00,8.00,8.00,9.00,8.00,8.40
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),8.00,8.00,9.00,8.00,9.00,9.00,8.00,8.00,9.00,9.00,8.50
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),7.00,8.00,9.00,8.00,9.00,8.00,10.00,8.00,9.00,10.00,8.60
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),8.00,9.00,8.00,8.00,9.00,8.00,8.00,9.00,9.00,8.00,8.40
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,8.00,8.00,9.00,8.00,8.00,9.00,8.00,8.00,8.00,9.00,8.30
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,8.00,8.00,8.00,9.00,8.00,8.00,9.00,8.00,9.00,8.00,8.30
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,8.00,9.00,8.00,8.00,8.00,8.00,8.00,7.00,8.00,10.00,8.20
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),8.00,8.00,8.00,9.00,8.00,8.00,8.00,9.00,9.00,9.00,8.40
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),8.00,9.00,8.00,8.00,9.00,9.00,8.00,10.00,9.00,10.00,8.80
odN35Psj30WErh/0F1PoYc3QSsi2JjuJ,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),8.00,9.00,8.00,9.00,9.00,9.00,9.00,8.00,8.00,8.00,8.50
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),9.00,10.00,9.00,7.00,9.00,10.00,9.00,7.00,10.00,8.00,8.80
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),8.00,10.00,10.00,9.00,10.00,10.00,9.00,10.00,10.00,8.00,9.40
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),10.00,8.00,9.00,10.00,8.00,10.00,9.00,8.00,10.00,10.00,9.20
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),10.00,9.00,10.00,10.00,9.00,10.00,10.00,9.00,9.00,10.00,9.60
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),10.00,6.00,10.00,9.00,7.00,8.00,6.00,8.00,9.00,8.00,8.10
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),10.00,9.00,9.00,10.00,10.00,9.00,9.00,8.00,10.00,7.00,9.10
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,10.00,10.00,10.00,10.00,9.00,9.00,7.00,9.00,9.00,9.00,9.20
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,10.00,9.00,8.00,7.00,10.00,7.00,7.00,7.00,8.00,7.00,8.00
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,10.00,9.00,9.00,10.00,10.00,10.00,10.00,9.00,9.00,10.00,9.60
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),10.00,8.00,10.00,8.00,7.00,9.00,10.00,10.00,10.00,9.00,9.10
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),10.00,9.00,9.00,8.00,10.00,9.00,8.00,7.00,9.00,10.00,8.90
3ziFXq+D0mqdL0s4M7YTZCVEI2hQzGuN,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),9.00,8.00,9.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,9.50
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Mr. P. Anbumani,CCS356- Object oriented Software Engineering (OOSE),9.00,9.00,8.00,9.00,9.00,8.00,8.00,8.00,9.00,10.00,8.70
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Mr. K. Maheshkumar,CS3691-Embedded systems and IOT (ESIOT),8.00,9.00,9.00,10.00,9.00,9.00,9.00,8.00,9.00,8.00,8.80
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Mr. S. Muthukumar,OEE351 -Renewable Energy System (RES),9.00,9.00,9.00,8.00,8.00,9.00,10.00,10.00,10.00,10.00,9.20
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Mr. S. Gunasekaran,CCS335-Cloud Computing (CC),9.00,9.00,9.00,10.00,10.00,8.00,9.00,9.00,8.00,8.00,8.90
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Mr. Gowtham Siddharth,CCS354- Network Security (NS),8.00,9.00,8.00,8.00,9.00,8.00,10.00,9.00,8.00,8.00,8.50
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Dr. S. Prabakaran,CCW332- Digital Marketing (DM),9.00,10.00,8.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Ms. G. Yasika,CCS345- Ethics and AI (EAI),10.00,10.00,10.00,10.00,9.00,9.00,8.00,8.00,9.00,9.00,9.20
sq6DLLCVYKOvZxXdYU8shwxmx9IbumI3,Computer Science and Engineering -A,6,Mr. Mohamed Aftaf,Placement Training,10.00,9.00,10.00,10.00,9.00,9.00,10.00,10.00,10.00,10.00,9.70
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Mr. P. Anbumani,CCS356- Object oriented Software Engineering (OOSE),8.00,8.00,9.00,10.00,8.00,8.00,9.00,9.00,10.00,9.00,8.80
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Mr. K. Maheshkumar,CS3691-Embedded systems and IOT (ESIOT),9.00,8.00,9.00,8.00,8.00,9.00,9.00,10.00,9.00,9.00,8.80
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Mr. S. Muthukumar,OEE351 -Renewable Energy System (RES),9.00,10.00,8.00,7.00,8.00,7.00,9.00,9.00,10.00,7.00,8.40
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Mr. S. Gunasekaran,CCS335-Cloud Computing (CC),9.00,9.00,9.00,10.00,9.00,10.00,9.00,8.00,9.00,8.00,9.00
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Mr. Gowtham Siddharth,CCS354- Network Security (NS),8.00,7.00,8.00,9.00,8.00,8.00,8.00,7.00,8.00,9.00,8.00
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Dr. S. Prabakaran,CCW332- Digital Marketing (DM),9.00,9.00,9.00,10.00,10.00,10.00,9.00,9.00,10.00,9.00,9.40
nuxHnW/ovaEkKyyzRFe5DoVzAfhsNBoW,Computer Science and Engineering -A,6,Ms. G. Yasika,CCS345- Ethics and AI (EAI),9.00,9.00,9.00,8.00,10.00,8.00,9.00,10.00,9.00,10.00,9.10
